dataset,shape,pos_rate,model,f1,pr_auc,roc_auc
adult,"48842, 14",0.2393,PiecewiseLinearClassifier[nb],0.5110,0.6858,0.8624
adult,"48842, 14",0.2393,MixtureOfLinearExpertsClassifier[logistic],0.5831,0.7082,0.8714
adult,"48842, 14",0.2393,MixtureOfLinearExpertsClassifier[sgd],0.5926,0.7060,0.8721
adult,"48842, 14",0.2393,MixtureOfLinearExpertsClassifier[lda],0.5683,0.6664,0.8573
adult,"48842, 14",0.2393,MixtureOfLinearExpertsClassifier[nb],0.4716,0.6272,0.8284
adult,"48842, 14",0.2393,FuzzyLogicLinearClassifier[logistic],0.5808,0.6891,0.8574
adult,"48842, 14",0.2393,FuzzyLogicLinearClassifier[sgd],0.5666,0.6862,0.8549
adult,"48842, 14",0.2393,FuzzyLogicLinearClassifier[lda],0.5796,0.6788,0.8508
adult,"48842, 14",0.2393,FuzzyLogicLinearClassifier[nb],0.5753,0.6621,0.8615
credit_card_fraud,"284807, 29",0.0017,BaselineLogisticRegression,0.7240,0.7581,0.9745
credit_card_fraud,"284807, 29",0.0017,BaselineNaiveBayes,0.1150,0.0857,0.9605
credit_card_fraud,"284807, 29",0.0017,BaselineLDA,0.8126,0.7319,0.9803
credit_card_fraud,"284807, 29",0.0017,BaselineElasticNet,0.0000,nan,nan
credit_card_fraud,"284807, 29",0.0017,BaselineKernelSVM,0.7819,0.8187,0.9465
credit_card_fraud,"284807, 29",0.0017,BaselineRandomForest,0.8588,0.8487,0.9497
credit_card_fraud,"284807, 29",0.0017,BaselineMLP,0.8218,0.8365,0.9713
credit_card_fraud,"284807, 29",0.0017,PolynomialFeaturesClassifier[logistic],0.8136,0.8236,0.9619
credit_card_fraud,"284807, 29",0.0017,PolynomialFeaturesClassifier[sgd],0.6557,0.7364,0.9569
credit_card_fraud,"284807, 29",0.0017,PolynomialFeaturesClassifier[lda],0.8214,0.7342,0.9587
credit_card_fraud,"284807, 29",0.0017,PolynomialFeaturesClassifier[nb],0.1908,0.0956,0.9455
credit_card_fraud,"284807, 29",0.0017,SplineFeaturesClassifier[logistic],0.8327,0.8425,0.9785
credit_card_fraud,"284807, 29",0.0017,SplineFeaturesClassifier[sgd],0.7665,0.7791,0.9815
credit_card_fraud,"284807, 29",0.0017,SplineFeaturesClassifier[lda],0.8195,0.7173,0.9522
credit_card_fraud,"284807, 29",0.0017,SplineFeaturesClassifier[nb],0.0354,0.0397,0.9412
credit_card_fraud,"284807, 29",0.0017,LinearBoostClassifier[logistic],0.7474,0.7007,0.9680
credit_card_fraud,"284807, 29",0.0017,LinearBoostClassifier[sgd],0.6567,0.6787,0.9676
credit_card_fraud,"284807, 29",0.0017,LinearBoostClassifier[nb],0.2791,0.4625,0.9394
credit_card_fraud,"284807, 29",0.0017,BaggingFeatureSubspaceClassifier[logistic],0.7103,0.7435,0.9787
credit_card_fraud,"284807, 29",0.0017,BaggingFeatureSubspaceClassifier[sgd],0.6308,0.6791,0.9601
credit_card_fraud,"284807, 29",0.0017,BaggingFeatureSubspaceClassifier[lda],0.7831,0.7093,0.9586
credit_card_fraud,"284807, 29",0.0017,BaggingFeatureSubspaceClassifier[nb],0.1161,0.1331,0.9571
credit_card_fraud,"284807, 29",0.0017,MaxOfLinearClassifier[logistic],0.7204,0.7622,0.9747
credit_card_fraud,"284807, 29",0.0017,MaxOfLinearClassifier[sgd],0.6380,0.7242,0.9810
credit_card_fraud,"284807, 29",0.0017,MaxOfLinearClassifier[lda],0.8126,0.7326,0.9803
credit_card_fraud,"284807, 29",0.0017,MaxOfLinearClassifier[nb],0.1238,0.1095,0.9635
credit_card_fraud,"284807, 29",0.0017,CascadeLinearClassifier[logistic],0.7236,0.7544,0.9745
credit_card_fraud,"284807, 29",0.0017,CascadeLinearClassifier[sgd],0.6759,0.7188,0.9803
credit_card_fraud,"284807, 29",0.0017,CascadeLinearClassifier[lda],0.8126,0.7208,0.9725
credit_card_fraud,"284807, 29",0.0017,CascadeLinearClassifier[nb],0.1130,0.0547,0.9569
credit_card_fraud,"284807, 29",0.0017,PiecewiseLinearClassifier[logistic],0.7518,0.7741,0.9773
credit_card_fraud,"284807, 29",0.0017,PiecewiseLinearClassifier[sgd],0.6898,0.6635,0.9618
credit_card_fraud,"284807, 29",0.0017,PiecewiseLinearClassifier[lda],0.7909,0.6993,0.9482
credit_card_fraud,"284807, 29",0.0017,PiecewiseLinearClassifier[nb],0.1261,0.0971,0.9585
credit_card_fraud,"284807, 29",0.0017,MixtureOfLinearExpertsClassifier[logistic],0.7490,0.7883,0.9711
credit_card_fraud,"284807, 29",0.0017,MixtureOfLinearExpertsClassifier[sgd],0.7087,0.7153,0.9285
credit_card_fraud,"284807, 29",0.0017,MixtureOfLinearExpertsClassifier[lda],0.7964,0.7253,0.9406
credit_card_fraud,"284807, 29",0.0017,MixtureOfLinearExpertsClassifier[nb],0.1195,0.1535,0.9452
credit_card_fraud,"284807, 29",0.0017,FuzzyLogicLinearClassifier[logistic],0.7380,0.6959,0.9723
credit_card_fraud,"284807, 29",0.0017,FuzzyLogicLinearClassifier[sgd],0.6783,0.6507,0.8799
credit_card_fraud,"284807, 29",0.0017,FuzzyLogicLinearClassifier[lda],0.8060,0.6858,0.8871
credit_card_fraud,"284807, 29",0.0017,FuzzyLogicLinearClassifier[nb],0.0000,0.1337,0.9415
